Stock Price Prediction Results:

AAPL - MSE: 0.000648056107038935
MSFT - MSE: 0.0009825364392452656
GOOGL - MSE: 0.0011787613657563904
AMZN - MSE: 0.0007625209710347092
TSLA - MSE: 0.0015914879943551674
META - MSE: 0.0008237383745719087
NVDA - MSE: 0.0009637319343731285
BRK-B - MSE: 0.0006477337735837414
V - MSE: 0.0010623598154131085
UNH - MSE: 0.0016516463724443767
JPM - MSE: 0.0009378985960264339
HD - MSE: 0.001001795282018216
DIS - MSE: 0.000465862616878861
PYPL - MSE: 0.00014778276959247832
MA - MSE: 0.0006042332792811356
VZ - MSE: 0.0010990236300058014
NFLX - MSE: 0.001658361148899812
CSCO - MSE: 0.0007922148953266652
PEP - MSE: 0.0012891727782069278
INTC - MSE: 0.0013089370827834973
